python,javascript,html_css,sql,problem_solving,ml_ai,design,networking,devops,communication,role
0.28,0.195,0.051,0.977,0.731,0.0,0.0,0.212,0.59,0.422,Database Administrator
0.902,0.046,0.024,0.376,0.899,0.964,0.074,0.162,0.367,0.406,ML Engineer
0.602,0.155,0.02,0.353,0.687,0.137,0.11,0.877,0.989,0.622,DevOps Engineer
0.487,0.099,0.0,0.089,0.457,0.043,0.079,0.892,0.505,0.58,Network Engineer
0.485,0.0,0.095,0.0,0.527,0.073,0.053,0.508,0.723,0.497,DevOps Engineer
0.516,0.364,0.317,0.761,0.397,0.036,0.096,0.0,0.618,0.921,QA / Test Engineer
0.174,0.439,0.891,0.129,0.474,0.024,0.979,0.014,0.0,0.931,UI/UX Designer
0.79,0.049,0.04,0.727,0.453,0.11,0.0,0.611,0.52,0.278,Database Administrator
0.483,0.316,0.029,0.335,0.764,0.005,0.063,0.816,0.924,0.271,DevOps Engineer
0.422,0.023,0.085,0.363,0.61,0.066,0.0,1.0,0.909,0.353,System Administrator
0.051,0.155,0.707,0.06,0.268,0.034,0.901,0.042,0.046,0.736,UI/UX Designer
0.353,0.057,0.016,0.018,0.589,0.03,0.095,0.951,0.586,0.337,Network Engineer
0.945,0.211,0.049,0.63,0.93,0.965,0.092,0.065,0.527,0.0,ML Engineer
0.455,0.224,0.136,0.599,0.501,0.159,0.114,0.987,0.635,0.418,Network Engineer
0.0,0.223,0.935,0.093,0.444,0.008,0.961,0.0,0.007,0.773,UI/UX Designer
0.622,0.277,0.098,0.313,0.69,0.141,0.051,0.581,0.864,0.446,DevOps Engineer
0.94,0.062,0.095,0.261,0.709,0.195,0.065,0.88,1.0,0.244,DevOps Engineer
0.214,0.138,0.003,0.28,0.67,0.261,0.193,0.911,0.568,0.586,Network Engineer
0.376,0.0,0.0,0.289,0.873,0.044,0.012,0.99,0.406,0.186,Cybersecurity Analyst
0.653,0.14,0.0,0.903,0.648,0.084,0.31,0.131,0.116,0.74,Data Analyst
0.665,0.272,0.0,0.418,1.0,0.019,0.021,0.806,0.505,0.471,Cybersecurity Analyst
0.391,0.992,0.655,0.465,0.809,0.043,0.883,0.279,0.223,0.83,Mobile App Developer
0.893,0.713,0.67,0.674,0.726,0.123,0.282,0.113,0.477,0.425,Full Stack Developer
0.692,0.785,0.0,0.207,0.869,0.062,0.126,0.072,0.135,0.792,QA / Test Engineer
0.9,0.325,0.289,1.0,0.889,0.047,0.0,0.22,0.554,0.326,Backend Developer
0.983,0.184,0.0,0.543,1.0,0.946,0.024,0.057,0.383,0.427,ML Engineer
0.279,0.065,0.047,0.966,0.865,0.036,0.023,0.154,0.116,0.215,Database Administrator
0.0,0.622,0.402,0.272,0.494,0.033,0.581,0.0,0.182,0.279,Frontend Developer
0.578,0.014,0.111,0.254,0.611,0.048,0.0,0.851,0.792,0.622,Cloud Engineer
0.3,0.201,0.213,0.246,0.688,0.0,0.061,0.165,0.292,0.517,QA / Test Engineer
0.089,0.353,0.731,0.08,0.104,0.0,1.0,0.011,0.062,1.0,UI/UX Designer
0.584,0.0,0.0,0.548,0.805,0.513,0.0,0.027,0.278,0.496,Data Scientist
0.0,1.0,0.536,0.283,0.589,0.056,0.513,0.064,0.361,0.485,Mobile App Developer
0.876,0.938,0.673,0.874,0.906,0.045,0.406,0.596,0.193,0.745,Full Stack Developer
0.686,0.106,0.204,0.239,0.855,0.165,0.063,0.917,0.451,0.488,Cybersecurity Analyst
0.667,0.289,0.078,0.097,0.926,0.0,0.027,0.785,0.083,0.383,Cybersecurity Analyst
0.61,0.699,0.653,0.927,0.823,0.219,0.349,0.172,0.345,0.521,Full Stack Developer
0.538,0.911,0.87,0.661,0.824,0.087,0.747,0.136,0.222,0.662,Mobile App Developer
0.79,0.227,0.0,0.609,0.468,0.1,0.075,0.805,0.914,0.691,Cloud Engineer
0.57,0.283,0.226,0.303,0.776,0.0,0.0,0.229,0.352,0.765,QA / Test Engineer
0.628,0.2,0.0,0.959,0.65,0.255,0.186,0.0,0.022,0.774,Data Analyst
0.155,0.01,0.055,0.073,0.328,0.043,0.044,1.0,0.186,0.164,Network Engineer
0.85,0.672,0.193,0.677,0.817,0.188,0.198,0.541,0.805,0.856,QA / Test Engineer
0.515,0.129,0.1,0.334,0.473,0.461,0.337,0.011,0.19,0.385,Data Scientist
0.406,0.229,0.306,0.735,0.726,0.499,0.1,0.754,0.478,0.39,Cybersecurity Analyst
0.878,0.036,0.024,0.635,0.901,0.821,0.026,0.0,0.17,0.554,Data Scientist
0.636,0.106,0.042,0.528,0.81,0.075,0.074,0.741,0.807,0.637,Cloud Engineer
0.271,0.303,0.139,1.0,0.733,0.169,0.09,0.642,0.465,0.33,Database Administrator
0.107,0.779,0.812,0.19,0.701,0.0,0.688,0.045,0.207,0.304,Frontend Developer
0.062,0.082,0.0,0.001,0.78,0.024,0.0,0.988,0.472,0.285,Network Engineer
0.602,0.344,0.21,0.3,0.683,0.053,0.151,0.163,0.393,0.312,QA / Test Engineer
0.219,0.175,0.108,0.928,0.456,0.0,0.139,0.331,0.323,0.693,Database Administrator
0.595,0.095,0.05,0.556,0.502,0.0,0.052,0.762,0.868,0.796,Cloud Engineer
0.774,0.074,0.153,1.0,0.722,0.48,0.419,0.07,0.044,0.733,Data Analyst
0.87,0.094,0.07,0.537,0.949,0.917,0.0,0.093,0.407,0.245,ML Engineer
0.403,0.098,0.014,0.056,0.421,0.069,0.013,0.927,0.318,0.417,System Administrator
0.162,0.0,0.062,0.0,0.383,0.001,0.05,0.968,0.172,0.365,Network Engineer
0.415,0.072,0.017,0.263,0.848,0.066,0.066,0.913,0.311,0.415,Network Engineer
0.39,0.148,0.079,0.421,0.604,0.029,0.099,0.921,0.682,0.386,System Administrator
0.185,0.827,0.691,0.308,0.694,0.0,0.704,0.237,0.353,0.539,Mobile App Developer
0.454,0.211,0.023,0.917,0.779,0.036,0.0,0.489,0.524,0.721,Database Administrator
0.274,0.0,0.029,0.307,0.557,0.013,0.0,0.93,0.318,0.336,Network Engineer
0.456,0.018,0.0,0.91,0.487,0.063,0.0,0.086,0.107,0.734,Data Analyst
0.908,0.0,0.05,0.76,0.977,0.916,0.104,0.034,0.0,0.668,Data Scientist
0.492,0.0,0.051,0.497,0.655,0.066,0.033,0.948,0.905,0.851,DevOps Engineer
0.233,0.099,0.054,0.502,0.853,0.102,0.006,0.93,0.984,0.124,Cloud Engineer
0.322,0.0,0.0,0.447,0.542,0.029,0.024,0.883,0.368,0.843,Network Engineer
0.994,0.13,0.019,0.813,0.917,1.0,0.119,0.0,0.02,0.29,Data Scientist
0.98,0.151,0.0,0.149,0.855,0.209,0.046,0.797,1.0,0.708,DevOps Engineer
0.353,0.259,0.06,1.0,0.892,0.571,0.313,0.0,0.251,0.595,Data Analyst
0.952,0.0,0.147,0.692,0.908,1.0,0.144,0.154,0.265,0.729,Data Scientist
0.679,0.141,0.086,0.573,0.603,0.137,0.068,0.848,0.928,0.335,Cloud Engineer
0.8,0.296,0.072,0.744,0.841,0.345,0.164,0.459,0.204,0.322,Backend Developer
0.716,0.234,0.142,1.0,0.76,0.58,0.162,0.072,0.0,0.793,Data Analyst
0.03,0.888,0.875,0.215,0.587,0.076,0.854,0.025,0.171,0.682,Frontend Developer
0.223,0.109,0.149,0.27,0.995,0.017,0.045,0.963,0.318,0.412,Cybersecurity Analyst
0.579,0.081,0.077,0.993,0.473,0.037,0.0,0.299,0.319,0.709,Database Administrator
0.514,0.373,0.47,0.441,0.902,0.051,0.0,0.277,0.0,0.559,QA / Test Engineer
0.253,0.0,0.103,0.354,0.858,0.05,0.018,1.0,0.135,0.0,Cybersecurity Analyst
0.435,0.258,0.019,0.387,0.563,0.109,0.0,0.785,0.577,0.589,System Administrator
0.165,0.649,0.567,0.149,0.609,0.0,0.443,0.0,0.135,0.371,Frontend Developer
0.066,0.848,0.916,0.305,0.461,0.044,0.654,0.127,0.226,0.49,Frontend Developer
0.072,0.892,0.993,0.095,0.17,0.09,0.996,0.025,0.0,0.494,Frontend Developer
0.133,0.893,1.0,0.292,0.695,0.0,0.659,0.189,0.282,0.678,Frontend Developer
0.889,0.308,0.035,0.841,0.906,0.16,0.014,0.234,0.341,0.336,Backend Developer
0.581,0.0,0.0,0.42,0.618,0.092,0.125,0.981,0.604,0.344,Network Engineer
0.559,0.319,0.131,0.285,0.806,0.099,0.097,0.737,0.92,0.481,DevOps Engineer
0.794,0.224,0.03,0.372,0.712,0.186,0.017,0.877,1.0,0.4,Cloud Engineer
0.68,0.191,0.069,0.391,1.0,0.083,0.206,0.733,0.892,0.63,DevOps Engineer
0.439,0.093,0.067,0.275,0.84,0.051,0.045,0.761,0.749,0.437,System Administrator
0.766,0.049,0.074,0.503,0.739,0.05,0.046,0.841,1.0,0.58,Cloud Engineer
0.409,0.127,0.11,0.957,0.87,0.031,0.068,0.419,0.295,0.125,Database Administrator
1.0,0.202,0.052,0.397,1.0,0.941,0.047,0.141,0.329,0.208,ML Engineer
0.595,0.257,0.43,0.317,0.726,0.282,0.036,0.848,0.826,0.751,Cybersecurity Analyst
0.449,0.156,0.07,0.255,0.706,0.028,0.011,0.875,0.839,0.551,System Administrator
0.755,0.537,0.498,0.537,0.715,0.0,0.17,0.093,0.203,0.163,Full Stack Developer
0.657,0.332,0.378,0.993,0.847,0.058,0.109,0.681,0.977,0.461,DevOps Engineer
0.693,0.176,0.0,0.516,0.57,0.0,0.0,0.408,0.093,0.0,Backend Developer
0.387,0.098,0.035,0.388,0.853,0.0,0.0,1.0,0.718,0.238,Network Engineer
0.936,0.361,0.017,0.976,0.878,0.194,0.019,0.334,0.61,0.545,Backend Developer
0.184,0.159,0.081,0.922,0.626,0.109,0.017,0.381,0.297,0.495,Database Administrator
0.107,0.52,0.653,0.758,0.427,0.0,0.541,0.033,0.0,0.229,Full Stack Developer
0.798,0.869,0.733,0.696,0.924,0.098,0.415,0.263,0.435,0.655,Full Stack Developer
0.353,0.0,0.0,0.884,0.712,0.108,0.051,0.55,0.236,0.233,Database Administrator
0.973,0.014,0.029,0.109,0.985,0.982,0.0,0.0,0.305,0.396,ML Engineer
0.825,0.285,0.039,0.829,0.751,0.388,0.0,0.571,0.519,0.576,Backend Developer
0.6,0.848,0.486,0.366,0.75,0.079,0.409,0.119,0.078,0.621,Full Stack Developer
0.993,0.077,0.0,0.698,0.782,0.211,0.149,0.3,0.579,0.555,Backend Developer
0.532,0.0,0.262,0.614,0.709,0.184,0.167,0.88,0.985,0.469,Cloud Engineer
0.14,0.712,0.976,0.186,0.496,0.05,0.79,0.193,0.0,0.627,Frontend Developer
0.539,0.121,0.036,0.932,0.977,0.058,0.039,0.552,0.496,0.515,Database Administrator
0.933,0.358,0.057,0.883,0.929,0.214,0.035,0.204,0.041,0.253,Backend Developer
0.596,0.776,0.467,0.79,0.699,0.053,0.592,0.193,0.369,0.562,Full Stack Developer
0.856,0.88,0.765,0.344,0.74,0.062,0.0,0.174,0.299,0.513,Full Stack Developer
0.452,0.001,0.155,0.255,0.811,0.2,0.016,0.844,0.319,0.289,Cybersecurity Analyst
0.347,0.007,0.0,0.938,0.817,0.03,0.02,0.079,0.164,0.183,Database Administrator
0.619,0.32,0.343,0.59,0.872,0.39,0.0,0.615,1.0,0.672,Cloud Engineer
0.942,0.246,0.077,0.677,0.901,0.868,0.097,0.095,0.04,0.652,Data Scientist
0.16,0.252,0.038,0.267,0.585,0.063,0.018,0.806,0.667,0.319,System Administrator
0.265,0.838,0.461,0.66,0.552,0.054,0.716,0.087,0.296,0.333,Mobile App Developer
0.07,0.598,0.635,0.194,0.655,0.0,0.293,0.0,0.075,0.388,Frontend Developer
1.0,0.265,0.0,0.83,0.812,0.796,0.123,0.068,0.22,0.586,Data Scientist
0.323,0.069,0.038,0.11,0.836,0.011,0.05,0.905,0.482,0.415,Network Engineer
0.956,0.237,0.095,0.647,0.911,0.867,0.322,0.084,0.234,0.554,Data Scientist
1.0,0.213,0.072,0.668,0.81,0.068,0.054,0.81,0.893,0.677,DevOps Engineer
0.059,0.891,0.51,0.474,0.659,0.118,0.699,0.166,0.261,0.412,Mobile App Developer
0.832,0.492,0.092,0.697,0.656,0.0,0.039,0.849,0.385,0.755,Backend Developer
0.424,0.136,0.031,0.341,0.568,0.021,0.01,0.794,0.902,0.441,Cloud Engineer
0.626,0.0,0.0,0.819,0.607,0.182,0.451,0.0,0.193,0.773,Data Analyst
0.783,0.049,0.05,0.214,0.571,0.673,0.0,0.082,0.005,0.389,ML Engineer
0.265,0.738,0.484,0.329,0.461,0.084,0.64,0.052,0.02,0.554,Mobile App Developer
0.418,0.9,0.003,0.207,0.763,0.269,0.713,0.053,0.143,0.779,Mobile App Developer
0.533,0.098,0.11,0.431,0.921,0.091,0.038,0.952,0.641,0.457,Cybersecurity Analyst
0.619,0.0,0.0,0.42,0.61,0.0,0.1,0.575,0.367,0.649,Backend Developer
0.647,0.0,0.097,0.41,0.916,0.0,0.074,0.715,0.907,0.574,DevOps Engineer
0.706,0.0,0.125,0.695,0.402,0.614,0.118,0.803,0.946,0.562,Cloud Engineer
0.535,0.789,0.613,0.036,0.525,0.208,0.768,0.086,0.292,0.746,Mobile App Developer
1.0,0.328,0.206,0.883,0.952,0.099,0.066,0.432,0.266,0.263,Backend Developer
0.333,1.0,0.44,0.406,0.668,0.001,0.364,0.103,0.303,0.588,Mobile App Developer
0.93,0.031,0.016,0.615,0.866,0.961,0.031,0.0,0.285,0.516,ML Engineer
0.951,0.17,0.115,0.515,0.841,1.0,0.013,0.225,0.137,0.482,ML Engineer
0.203,0.124,0.106,0.497,0.908,0.007,0.031,0.95,0.215,0.363,Cybersecurity Analyst
0.0,0.406,0.959,0.144,0.317,0.021,0.968,0.029,0.096,0.869,UI/UX Designer
0.777,0.119,0.047,0.166,0.587,0.015,0.0,0.923,0.65,0.271,Network Engineer
0.217,0.176,0.114,0.929,0.902,0.043,0.021,0.557,0.227,0.474,Database Administrator
0.908,0.833,0.785,0.704,0.81,0.266,0.495,0.28,0.692,0.859,Full Stack Developer
0.685,0.157,0.105,0.396,0.723,0.179,0.0,0.441,0.645,0.187,DevOps Engineer
0.0,0.003,0.463,0.072,0.485,0.0,0.664,0.06,0.008,0.455,UI/UX Designer
0.939,0.181,0.098,0.431,0.972,0.979,0.007,0.105,0.666,0.187,ML Engineer
0.729,0.78,0.146,0.228,0.674,0.028,0.052,0.186,0.398,0.686,QA / Test Engineer
0.66,0.236,0.219,0.782,0.818,0.424,0.486,0.007,0.16,0.539,Data Analyst
0.914,0.522,0.151,0.726,0.932,0.0,0.129,0.527,0.124,0.786,Backend Developer
0.58,0.16,0.24,0.644,0.93,0.343,0.214,0.706,0.756,0.892,Cybersecurity Analyst
0.293,0.468,0.156,0.39,0.864,0.045,0.094,0.253,0.194,0.654,QA / Test Engineer
0.363,0.797,0.456,0.364,0.584,0.215,0.869,0.165,0.156,0.282,Mobile App Developer
0.527,0.099,0.0,0.2,0.971,0.046,0.006,1.0,0.215,0.239,Cybersecurity Analyst
0.901,0.117,0.267,0.688,0.843,0.982,0.169,0.196,0.563,0.684,Data Scientist
0.274,0.12,0.0,0.501,0.536,0.061,0.0,1.0,0.818,0.352,System Administrator
0.94,0.237,0.103,0.839,0.817,0.9,0.087,0.338,0.808,0.977,ML Engineer
0.015,0.373,0.728,0.066,0.462,0.002,0.888,0.085,0.0,0.924,UI/UX Designer
0.964,0.231,0.03,0.878,0.94,0.322,0.0,0.485,0.336,0.308,Backend Developer
0.177,0.504,0.708,0.167,0.879,0.135,0.959,0.269,0.142,0.757,UI/UX Designer
0.634,0.103,0.0,0.6,0.625,0.118,0.156,0.214,0.969,0.013,Backend Developer
0.965,0.054,0.033,0.184,0.971,0.965,0.037,0.068,0.185,0.423,ML Engineer
0.719,0.0,0.0,0.483,0.74,0.568,0.027,0.149,0.197,0.272,ML Engineer
0.118,0.104,0.027,0.148,0.508,0.006,0.066,0.984,0.516,0.377,Network Engineer
0.916,0.156,0.03,0.748,0.851,1.0,0.099,0.015,0.278,0.444,ML Engineer
0.629,0.0,0.009,0.435,0.453,0.045,0.133,0.447,0.121,0.61,Backend Developer
0.213,0.116,0.032,0.322,0.435,0.076,0.034,0.885,0.516,0.301,System Administrator
0.089,0.899,0.893,0.228,0.316,0.032,0.789,0.107,0.122,0.44,Frontend Developer
0.207,0.0,0.0,0.394,0.617,0.044,0.068,0.676,0.596,0.58,System Administrator
0.093,0.443,0.634,0.132,0.408,0.0,0.892,0.043,0.069,0.883,UI/UX Designer
0.113,0.228,0.61,0.0,0.373,0.019,0.939,0.078,0.099,0.818,UI/UX Designer
0.589,0.0,0.059,0.925,0.613,0.087,0.058,0.395,0.45,0.401,Database Administrator
0.221,0.706,0.538,0.0,0.772,0.156,0.587,0.0,0.232,0.268,Mobile App Developer
0.285,0.107,0.025,0.029,0.669,0.05,0.031,0.954,0.466,0.443,Network Engineer
0.403,0.0,0.067,0.416,0.512,0.026,0.052,0.685,0.561,0.479,System Administrator
0.69,0.0,0.247,0.374,0.853,0.241,0.27,0.888,0.947,0.492,Cloud Engineer
0.66,0.274,0.105,0.322,0.805,0.079,0.051,0.85,1.0,0.362,DevOps Engineer
0.494,0.139,0.405,0.672,0.736,0.259,0.0,0.39,0.723,0.798,QA / Test Engineer
0.587,0.0,0.072,0.785,0.175,0.575,0.144,0.003,0.033,0.716,Data Analyst
0.323,0.824,0.362,0.591,0.458,0.027,0.817,0.133,0.11,0.664,Mobile App Developer
0.466,0.05,0.203,0.826,0.516,0.55,0.141,0.037,0.03,0.411,Data Analyst
0.0,0.943,0.933,0.256,0.538,0.122,0.963,0.016,0.113,0.512,Frontend Developer
0.592,0.756,0.666,0.938,0.57,0.237,0.983,0.108,0.69,0.469,Full Stack Developer
0.525,0.02,0.101,0.248,0.956,0.081,0.018,0.769,0.981,0.335,DevOps Engineer
0.493,0.168,0.081,0.336,0.812,0.0,0.015,0.845,0.837,0.321,DevOps Engineer
1.0,0.957,0.857,0.724,0.878,0.135,0.467,0.151,0.293,0.444,Full Stack Developer
0.194,0.827,0.896,0.044,0.628,0.094,0.563,0.009,0.01,0.698,Frontend Developer
0.454,0.711,0.412,0.153,0.616,0.073,0.909,0.116,0.374,0.556,Mobile App Developer
0.307,0.039,0.08,0.68,0.783,0.007,0.044,0.934,0.982,0.571,System Administrator
0.183,0.886,0.304,0.128,0.641,0.155,0.831,0.096,0.317,0.558,Mobile App Developer
0.929,0.097,0.0,0.378,0.74,0.064,0.055,0.826,0.859,0.502,Cloud Engineer
0.059,0.907,0.985,0.131,0.695,0.0,0.762,0.139,0.228,0.419,Frontend Developer
0.518,0.133,0.089,0.757,0.579,0.069,0.01,0.982,0.987,0.479,Cloud Engineer
0.427,0.0,0.0,0.645,0.435,0.464,0.363,0.043,0.0,0.633,Data Analyst
0.273,0.018,0.003,0.311,0.924,0.07,0.045,0.931,0.577,0.594,System Administrator
0.691,0.001,0.135,0.323,0.803,0.057,0.073,0.811,0.886,0.153,DevOps Engineer
0.076,0.736,0.694,0.106,0.274,0.05,0.465,0.162,0.238,0.473,Frontend Developer
0.672,0.087,0.181,0.191,0.664,0.106,0.056,0.692,0.922,0.574,DevOps Engineer
0.153,0.1,0.13,0.238,0.794,0.009,0.003,0.866,0.463,0.698,Network Engineer
0.437,0.85,0.599,0.672,0.623,0.197,0.566,0.426,0.541,0.634,Full Stack Developer
0.544,0.24,0.0,0.9,0.283,0.019,0.068,0.348,0.662,0.58,Backend Developer
0.297,0.489,0.189,0.373,0.654,0.033,0.204,0.208,0.303,0.542,QA / Test Engineer
0.384,0.286,0.117,0.902,0.743,0.116,0.15,0.6,0.65,0.677,Database Administrator
0.758,0.119,0.155,0.53,0.894,0.087,0.0,0.692,0.85,0.458,Cloud Engineer
0.901,0.077,0.068,0.546,1.0,0.846,0.021,0.084,0.474,0.331,ML Engineer
0.952,0.09,0.052,0.38,0.968,1.0,0.055,0.099,0.107,0.209,ML Engineer
0.975,0.183,0.039,0.451,0.602,0.0,0.0,0.661,0.975,0.217,Cloud Engineer
0.121,0.886,0.9,0.347,0.397,0.101,0.682,0.108,0.267,0.729,Frontend Developer
0.227,0.216,0.087,0.392,0.422,0.039,0.0,0.691,0.754,0.553,System Administrator
0.137,0.317,0.146,0.525,0.495,0.462,0.152,0.012,0.239,0.244,Data Analyst
0.9,0.134,0.1,0.747,0.849,0.99,0.0,0.077,0.138,0.347,Data Scientist
0.344,0.108,0.054,0.253,0.79,0.086,0.099,0.768,0.989,0.63,Cloud Engineer
0.315,0.159,0.116,0.955,0.373,0.215,0.259,0.108,0.0,0.855,Data Analyst
0.389,0.219,0.083,0.472,0.458,0.035,0.075,0.705,0.486,0.415,System Administrator
0.0,0.425,0.697,0.061,0.223,0.016,0.946,0.004,0.0,0.858,UI/UX Designer
0.58,0.524,0.641,0.802,0.617,0.109,0.127,0.29,0.267,0.953,QA / Test Engineer
0.446,0.855,0.578,0.622,0.789,0.032,0.675,0.029,0.283,0.766,Mobile App Developer
0.75,0.199,0.173,0.471,0.719,0.108,0.081,0.893,0.523,1.0,Network Engineer
0.928,0.164,0.038,0.611,0.913,0.96,0.079,0.0,0.25,0.632,ML Engineer
0.297,0.903,0.983,0.159,0.71,0.077,1.0,0.11,0.11,0.6,Frontend Developer
1.0,0.18,0.137,0.805,0.935,0.993,0.043,0.032,0.367,0.899,Data Scientist
0.94,0.157,0.013,0.885,0.959,0.831,0.05,0.061,0.093,0.399,Data Scientist
0.427,0.883,0.568,0.411,0.766,0.188,0.637,0.132,0.222,0.702,Mobile App Developer
0.827,0.119,0.103,0.833,0.775,0.705,0.541,0.15,0.115,0.51,Data Analyst
0.381,0.023,0.0,0.179,0.331,0.049,0.055,0.979,0.326,0.549,System Administrator
0.538,0.207,0.17,0.511,0.465,0.04,0.0,0.326,0.562,0.447,DevOps Engineer
0.529,0.254,0.012,0.529,0.747,0.114,0.027,0.857,0.892,0.666,DevOps Engineer
0.023,0.803,0.905,0.033,0.664,0.0,0.81,0.004,0.107,0.629,Frontend Developer
0.869,0.389,0.104,0.717,0.879,0.523,0.0,0.152,0.48,0.709,Data Analyst
0.565,0.171,0.178,0.556,0.759,0.071,0.112,0.805,0.872,0.695,DevOps Engineer
0.0,0.13,0.07,0.0,0.335,0.055,0.032,0.76,0.499,0.09,Network Engineer
0.062,0.12,0.066,0.866,0.757,0.0,0.0,0.629,0.427,0.355,Database Administrator
0.44,0.189,0.049,0.492,1.0,0.124,0.0,0.962,0.625,0.386,Cybersecurity Analyst
0.198,0.91,0.894,0.601,0.677,0.272,0.702,0.064,0.337,0.671,Frontend Developer
0.875,0.903,0.812,0.558,0.795,0.237,0.735,0.377,0.417,0.614,Full Stack Developer
0.929,0.531,0.153,0.765,0.974,0.23,0.008,0.162,0.251,0.309,Backend Developer
0.903,0.047,0.14,0.513,0.995,0.105,0.0,0.804,0.971,0.269,DevOps Engineer
0.273,0.21,0.062,0.46,0.445,0.044,0.316,0.138,0.504,0.713,QA / Test Engineer
0.525,0.088,0.0,0.179,0.717,0.105,0.049,0.848,1.0,0.186,Cloud Engineer
0.155,0.923,0.666,0.617,0.612,0.056,0.751,0.116,0.213,0.829,Mobile App Developer
0.742,0.066,0.091,0.37,0.622,0.712,0.036,0.0,0.373,0.118,ML Engineer
0.41,0.103,0.019,0.195,0.654,0.031,0.035,0.955,0.858,0.423,Network Engineer
0.325,0.774,0.937,0.0,0.396,0.09,0.711,0.137,0.115,0.646,Frontend Developer
0.042,0.074,0.005,0.281,0.45,0.037,0.045,1.0,0.537,0.0,Network Engineer
0.439,0.403,0.31,0.92,0.559,0.168,0.132,0.418,0.593,0.554,Database Administrator
0.652,0.741,0.671,0.674,0.737,0.3,0.78,0.277,0.257,0.771,Full Stack Developer
0.591,0.202,0.165,0.501,0.74,0.624,0.048,0.055,0.131,0.231,Data Scientist
0.746,0.128,0.041,0.891,0.568,0.196,0.323,0.128,0.09,0.74,Data Analyst
0.222,0.769,0.416,0.403,0.712,0.074,0.869,0.065,0.255,0.757,Mobile App Developer
0.888,0.0,0.18,0.906,0.73,0.069,0.073,0.323,0.402,0.296,Database Administrator
0.323,0.288,0.617,0.531,0.432,0.008,0.207,0.262,0.438,0.621,QA / Test Engineer
0.575,0.03,0.094,0.415,0.912,0.148,0.038,0.638,0.929,0.166,Cloud Engineer
0.432,0.016,0.082,0.962,0.845,0.166,0.0,0.535,0.485,0.285,Database Administrator
0.0,0.874,0.147,0.515,0.777,0.189,0.82,0.254,0.205,0.546,Mobile App Developer
0.079,0.0,0.016,0.229,0.646,0.065,0.045,0.894,0.755,0.565,Network Engineer
0.487,0.036,0.026,0.438,0.558,0.147,0.096,0.796,0.822,0.773,Cloud Engineer
0.745,0.94,0.803,0.954,0.973,0.195,0.602,0.026,0.573,0.554,Full Stack Developer
0.692,0.755,0.746,0.509,0.627,0.016,0.403,0.137,0.449,0.393,Full Stack Developer
0.532,0.187,0.024,0.525,0.54,0.578,0.067,0.017,0.111,0.424,Data Scientist
0.925,0.082,0.084,0.934,0.884,0.114,0.171,0.417,0.368,0.667,Backend Developer
0.363,0.09,0.041,0.972,0.765,0.003,0.089,0.448,0.388,0.527,Database Administrator
0.371,0.134,0.273,0.473,0.488,0.05,0.155,0.161,0.324,0.984,QA / Test Engineer
0.662,0.096,0.069,0.417,0.892,0.0,0.011,0.979,0.499,0.068,Cybersecurity Analyst
0.616,0.696,0.793,0.923,0.751,0.0,0.342,0.266,0.446,0.824,Full Stack Developer
0.558,0.229,0.056,0.486,0.834,0.007,0.0,0.785,0.515,0.561,System Administrator
0.567,0.004,0.082,0.828,0.684,0.325,0.174,0.072,0.088,0.782,Data Analyst
0.05,0.014,0.062,0.751,0.358,0.003,0.075,0.274,0.253,0.137,Database Administrator
0.197,0.285,0.729,0.138,0.293,0.103,0.94,0.0,0.107,1.0,UI/UX Designer
0.797,0.665,0.869,0.652,0.779,0.191,0.289,0.358,0.502,0.628,Full Stack Developer
0.576,0.209,0.052,0.487,0.55,0.13,0.092,0.599,0.931,0.467,Cloud Engineer
0.585,0.0,0.116,0.36,0.863,0.115,0.102,1.0,0.658,0.415,Cybersecurity Analyst
0.991,0.113,0.046,0.807,0.959,1.0,0.146,0.085,0.099,0.624,Data Scientist
0.473,0.0,0.055,0.321,0.934,0.155,0.012,0.865,0.643,0.802,Cybersecurity Analyst
0.677,0.855,0.762,0.851,0.71,0.13,0.482,0.351,0.453,0.663,Full Stack Developer
0.798,0.0,0.054,0.88,0.936,0.091,0.071,0.488,0.403,0.306,Database Administrator
0.002,1.0,1.0,0.134,0.357,0.0,0.898,0.146,0.136,0.688,Frontend Developer
0.491,0.064,0.0,0.4,0.758,0.105,0.004,0.963,0.385,0.477,Network Engineer
0.332,0.39,0.282,0.471,0.522,0.208,0.813,0.219,0.461,0.493,Full Stack Developer
0.878,0.392,0.251,0.919,0.848,0.019,0.041,0.651,0.424,0.479,Backend Developer
0.112,0.234,0.779,0.103,0.267,0.059,0.965,0.041,0.018,0.963,UI/UX Designer
0.614,0.174,0.076,0.908,0.595,0.514,0.076,0.034,0.113,0.681,Data Analyst
0.203,0.778,0.948,0.178,0.519,0.0,0.996,0.113,0.046,0.87,Frontend Developer
0.459,0.108,0.129,0.807,0.319,0.039,0.086,0.388,0.66,0.523,Cloud Engineer
0.585,0.089,0.0,0.356,0.788,0.171,0.024,0.752,0.966,0.684,Cloud Engineer
0.755,0.118,0.415,1.0,0.863,0.339,0.1,0.239,0.314,0.579,Backend Developer
0.45,0.004,0.0,0.586,0.629,0.112,0.038,0.854,0.792,0.678,Cloud Engineer
0.74,0.1,0.0,0.58,0.785,0.119,0.026,0.732,0.85,0.306,Cloud Engineer
